event_booking_id,customer_id,event_type,space_id,event_date,duration_hours,attendees,setup_requirements,additional_setup_notes,setup_start_time,setup_completion_time
B000002,7827,Corporate Meeting,ES000003,2025-08-05 04:19:27,2,18,"Projector and screen, U-shaped table setup, Conference phone, Notepads and pens, South mind science century.",,2025-08-05 00:19:27,2025-08-05 03:49:27
EB000003,32874,Anniversary,ES000004,2025-06-08 14:48:43,4,143,"Dance floor, Champagne station, Gift table, Decorative lighting, Intimate table setup",,2025-06-08 12:48:43,2025-06-08 14:18:43
EB000004,35910,Anniversary,ES000002,2025-12-13 09:29:33,5,31,"Intimate table setup, Photo display area, Dance floor, Champagne station, Gift table",,2025-12-13 07:29:33,2025-12-13 08:59:33
EB000005,16931,Anniversary,ES000004,2025-09-25 11:57:58,3,35,"Gift table, Dance floor, Champagne station, Photo display area, Intimate table setup, Decorative lighting",,2025-09-25 09:57:58,2025-09-25 11:27:58
EB000006,26370,Birthday,ES000001,2025-05-10 19:00:41,4,16,"Round table setup, Basic audio system, Dance floor (optional), Photo area setup, Gift table, Cake table, Decorations installation",,2025-05-10 16:00:41,2025-05-10 18:30:41
EB000007,15375,Conference,ES000002,2025-11-28 04:12:11,8,32,"Water station setup, Power strips for laptops, Whiteboard or flipchart, Theater-style seating, Podium and microphone, Audio/Visual equipment, Projector and screen, Allow form week create property contain early.",,2025-11-28 02:12:11,2025-11-28 03:42:11
EB000008,21009,Conference,ES000003,2025-02-07 07:03:11,5,133,"Podium and microphone, Registration desk, Water station setup, Theater-style seating, Projector and screen, Audio/Visual equipment, Whiteboard or flipchart, Power strips for laptops",,2025-02-07 03:03:11,2025-02-07 06:33:11
EB000009,43474,Corporate Meeting,ES000004,2025-01-24 00:44:08,3,7,"Projector and screen, U-shaped table setup, Conference phone, Water and coffee station",Rest later sign book sport never. Before likely organization political read future.,2025-01-23 21:44:08,2025-01-24 00:14:08
EB000010,21534,Birthday,ES000002,2025-10-12 14:55:19,4,77,"Photo area setup, Cake table, Gift table, Round table setup, Decorations installation, Basic audio system",,2025-10-12 11:55:19,2025-10-12 14:25:19
EB000011,45516,Wedding,ES000003,2025-02-16 10:08:39,8,79,"Cake display table, Chair setup with aisle arrangement, Table arrangements for reception, Bar setup, Dance floor installation, Gift table, Photo booth area, Thank actually edge daughter language staff trial.",Need way movement wrong. Stay between us authority.,2025-02-16 08:08:39,2025-02-16 09:38:39
EB000012,33295,Wedding,ES000002,2025-11-05 17:01:52,7,131,"Dance floor installation, Audio system for ceremony, Gift table, Cake display table, Altar or arch setup, Photo booth area, Table arrangements for reception, Out sort it campaign.",,2025-11-05 15:01:52,2025-11-05 16:31:52
EB000013,28983,Corporate Meeting,ES000004,2025-08-26 16:55:11,5,31,"Conference phone, U-shaped table setup, Water and coffee station, Projector and screen, Whiteboard setup, Half same stand rather far.",Truth as lawyer property strategy who. Move drug wear level business.,2025-08-26 13:55:11,2025-08-26 16:25:11
EB000014,31663,Birthday,ES000004,2025-04-10 20:24:40,3,80,"Dance floor (optional), Gift table, Round table setup, Basic audio system, Decorations installation, Photo area setup, General case attention million special only daughter.",,2025-04-10 18:24:40,2025-04-10 19:54:40
EB000015,12381,Anniversary,ES000002,2025-10-27 04:38:05,3,145,"Decorative lighting, Photo display area, Dance floor, Gift table, Champagne station, Intimate table setup",,2025-10-27 02:38:05,2025-10-27 04:08:05
EB000016,41795,Corporate Meeting,ES000001,2025-10-03 01:46:06,2,26,"Conference phone, Whiteboard setup, Notepads and pens, Projector and screen, Water and coffee station, Look when minute.",,2025-10-02 22:46:06,2025-10-03 01:16:06
EB000017,6814,Conference,ES000004,2025-02-02 19:15:48,7,190,"Water station setup, Projector and screen, Whiteboard or flipchart, Registration desk, Power strips for laptops, Audio/Visual equipment, Audience impact body knowledge of crime middle.",,2025-02-02 17:15:48,2025-02-02 18:45:48
EB000018,31716,Conference,ES000001,2025-06-10 05:23:11,6,35,"Power strips for laptops, Water station setup, Podium and microphone, Registration desk, Audio/Visual equipment, Projector and screen, Theater-style seating",,2025-06-10 02:23:11,2025-06-10 04:53:11
