appointment_id,booking_id,customer_id,service_type,department,appointment_date,appointment_end,duration_minutes,description,cost,status,staff_id,staff_name
SA000001,BK000097,9928,Wellness Consultation,Spa & Wellness,2025-01-30 09:00:00,2025-01-30 09:45:00,45,In-depth Health Coaching session for 45 minutes addressing Stress Management. Expert Guidance.,170.16,Scheduled,ST000973,Staff Member
SA000002,BK000117,30189,Massage Therapy,Spa & Wellness,2025-01-20 09:00:00,2025-01-20 10:00:00,60,Specialized Relaxation therapy session for 60 minutes with Swedish approach. Improved Mobility.,114.39,Scheduled,ST000879,Staff Member
SA000003,BK000117,30189,Spa Treatment,Spa & Wellness,2025-01-20 10:00:00,2025-01-20 12:00:00,120,Luxurious 120-minute Deep Tissue treatment featuring Luxury Oils and Traditional methods. Relaxation.,248.11,Scheduled,ST000879,Staff Member
SA000004,BK000245,43542,Spa Treatment,Spa & Wellness,2025-01-28 09:00:00,2025-01-28 10:00:00,60,Premium Hot Stone experience for 60 minutes incorporating Modern massage with Herbal Products. Improved Circulation.,182.03,Scheduled,ST000142,Staff Member
SA000005,BK000245,43542,Massage Therapy,Spa & Wellness,2025-01-28 10:00:00,2025-01-28 11:30:00,90,Targeted 90-minute Relaxation treatment employing Swedish methods for Problem Areas. Faster Recovery.,168.93,Scheduled,ST000142,Staff Member
SA000006,BK000258,38896,Wellness Consultation,Spa & Wellness,2025-02-01 09:00:00,2025-02-01 10:00:00,60,Comprehensive 60-minute Wellness Strategy assessment targeting Diet Optimization. Lifestyle Enhancement.,122.11,Scheduled,ST000731,Staff Member
SA000007,BK000270,2238,Wellness Consultation,Spa & Wellness,2025-01-23 09:00:00,2025-01-23 09:45:00,45,In-depth Health Coaching session for 45 minutes addressing Work-Life Balance. Actionable Goals.,129.78,Scheduled,ST000361,Staff Member
SA000008,BK000270,2238,Spa Treatment,Spa & Wellness,2025-01-23 09:45:00,2025-01-23 10:45:00,60,Premium Swedish experience for 60 minutes incorporating Modern massage with Herbal Products. Relaxation.,283.36,Scheduled,ST000361,Staff Member
SA000009,BK000307,18668,Massage Therapy,Spa & Wellness,2025-01-27 09:00:00,2025-01-27 10:30:00,90,90-minute Sports Massage massage using Myofascial Release techniques. Focus on Sport-Specific for Pain Relief.,119.44,Scheduled,ST000739,Staff Member
SA000010,BK000307,18668,Wellness Consultation,Spa & Wellness,2025-01-27 10:30:00,2025-01-27 11:30:00,60,In-depth Nutrition Planning session for 60 minutes addressing Stress Management. Personalized Plan.,169.7,Scheduled,ST000739,Staff Member
SA000011,BK000323,23604,Spa Treatment,Spa & Wellness,2025-02-02 09:00:00,2025-02-02 11:00:00,120,Luxurious 120-minute Swedish treatment featuring Luxury Oils and Eastern methods. Improved Circulation.,230.82,Scheduled,ST000318,Staff Member
SA000012,BK000347,32019,Spa Treatment,Spa & Wellness,2025-01-25 09:00:00,2025-01-25 11:00:00,120,Deep Tissue massage for 120 minutes using Modern techniques with Herbal Products. Stress Relief.,154.29,Scheduled,ST000090,Staff Member
SA000013,BK000347,32019,Massage Therapy,Spa & Wellness,2025-01-25 11:00:00,2025-01-25 11:30:00,30,30-minute Relaxation massage using Myofascial Release techniques. Focus on Problem Areas for Faster Recovery.,104.8,Scheduled,ST000090,Staff Member
SA000014,BK000358,25470,Massage Therapy,Spa & Wellness,2025-01-04 09:00:00,2025-01-04 10:30:00,90,90-minute Relaxation massage using Swedish techniques. Focus on Tension Relief for Pain Relief.,137.27,Scheduled,ST000768,Staff Member
SA000015,BK000358,25470,Massage Therapy,Spa & Wellness,2025-01-04 10:30:00,2025-01-04 11:00:00,30,30-minute Recovery massage using Deep Tissue techniques. Focus on Problem Areas for Pain Relief.,111.17,Scheduled,ST000768,Staff Member
SA000016,BK000358,25470,Massage Therapy,Spa & Wellness,2025-01-04 11:00:00,2025-01-04 12:00:00,60,60-minute Relaxation massage using Swedish techniques. Focus on Tension Relief for Improved Mobility.,184.34,Scheduled,ST000768,Staff Member
SA000017,BK000395,14758,Massage Therapy,Spa & Wellness,2025-01-05 09:00:00,2025-01-05 10:30:00,90,Specialized Therapeutic therapy session for 90 minutes with Myofascial Release approach. Faster Recovery.,122.07,Scheduled,ST000822,Staff Member
SA000018,BK000395,14758,Massage Therapy,Spa & Wellness,2025-01-05 10:30:00,2025-01-05 11:30:00,60,Specialized Sports Massage therapy session for 60 minutes with Myofascial Release approach. Stress Reduction.,83.38,Scheduled,ST000822,Staff Member
SA000019,BK000427,45600,Spa Treatment,Spa & Wellness,2025-01-29 09:00:00,2025-01-29 10:30:00,90,Premium Aromatherapy experience for 90 minutes incorporating Eastern massage with Luxury Oils. Muscle Recovery.,258.85,Scheduled,ST000021,Staff Member
SA000020,BK000442,4009,Wellness Consultation,Spa & Wellness,2025-01-16 09:00:00,2025-01-16 10:00:00,60,Comprehensive 60-minute Wellness Strategy assessment targeting Work-Life Balance. Lifestyle Enhancement.,162.33,Scheduled,ST000297,Staff Member
SA000021,BK000461,42987,Spa Treatment,Spa & Wellness,2025-01-27 13:00:00,2025-01-27 14:00:00,60,Luxurious 60-minute Deep Tissue treatment featuring Essential Oils and Traditional methods. Stress Relief.,291.2,Scheduled,ST000739,Staff Member
SA000022,BK000461,42987,Massage Therapy,Spa & Wellness,2025-01-27 14:00:00,2025-01-27 15:00:00,60,60-minute Therapeutic massage using Swedish techniques. Focus on Tension Relief for Improved Mobility.,167.41,Scheduled,ST000739,Staff Member
SA000023,BK000484,40979,Spa Treatment,Spa & Wellness,2025-02-01 10:00:00,2025-02-01 11:00:00,60,Luxurious 60-minute Deep Tissue treatment featuring Essential Oils and Traditional methods. Relaxation.,128.01,Scheduled,ST000731,Staff Member
SA000024,BK000489,13668,Massage Therapy,Spa & Wellness,2025-01-09 09:00:00,2025-01-09 10:00:00,60,60-minute Relaxation massage using Deep Tissue techniques. Focus on Problem Areas for Improved Mobility.,81.32,Scheduled,ST000973,Staff Member
SA000025,BK000496,44395,Wellness Consultation,Spa & Wellness,2025-01-04 13:00:00,2025-01-04 13:45:00,45,In-depth Health Coaching session for 45 minutes addressing Work-Life Balance. Actionable Goals.,149.97,Scheduled,ST000768,Staff Member
SA000026,BK000535,33545,Massage Therapy,Spa & Wellness,2025-01-28 13:00:00,2025-01-28 14:30:00,90,Targeted 90-minute Relaxation treatment employing Deep Tissue methods for Tension Relief. Stress Reduction.,127.96,Scheduled,ST000142,Staff Member
SA000027,BK000535,33545,Massage Therapy,Spa & Wellness,2025-01-28 14:30:00,2025-01-28 15:30:00,60,60-minute Relaxation massage using Swedish techniques. Focus on Problem Areas for Improved Mobility.,147.62,Scheduled,ST000142,Staff Member
SA000028,BK000542,33212,Massage Therapy,Spa & Wellness,2025-01-06 09:00:00,2025-01-06 09:30:00,30,Targeted 30-minute Therapeutic treatment employing Swedish methods for Problem Areas. Stress Reduction.,151.53,Scheduled,ST000071,Staff Member
SA000029,BK000548,16148,Wellness Consultation,Spa & Wellness,2025-01-20 13:00:00,2025-01-20 14:00:00,60,60-minute Wellness Strategy consultation focusing on Stress Management. Expert Guidance.,105.46,Scheduled,ST000879,Staff Member
