booking_id,customer_id,room_number,room_type,check_in,check_out,duration_days,num_adults,num_children,loyalty_tier,special_amenities,special_requests,booking_status,payment_method,total_amount,points_earned
BK000001,20963,1730,Suite,2024-04-21 20:19:29,2024-04-30 14:00:29,9,3,0,Gold,"Executive Lounge Access, Premium Welcome Drink",,Cancelled,JCB 16 digit,12550.217064874132,25100
BK000002,11750,0928,Deluxe,2025-01-11 04:16:46,2025-01-24 16:16:46,12,1,2,Titanium,"Luxury Airport Transfer, Custom Room Fragrance",,Checked-in,Diners Club / Carte Blanche,7875.463161968113,31501
BK000003,2178,0525,Deluxe,2024-08-24 15:36:00,2024-09-01 16:00:00,8,1,1,Platinum,"Premium Amenities, Airport Transfer",,Confirmed,VISA 19 digit,3890.8863560205837,11672
BK000004,19877,0113,Standard,2024-05-27 22:47:30,2024-06-10 13:00:30,14,2,0,Silver,"Premium WiFi, Fruit Basket",,Checked-in,JCB 16 digit,7474.905836532366,11212
BK000005,44458,1002,Deluxe,2025-11-11 02:01:34,2025-11-19 11:00:34,8,1,1,Bronze,"Basic WiFi, Welcome Drink",,Cancelled,JCB 16 digit,4426.074946126007,4426
BK000006,4095,1713,Suite,2025-05-05 01:47:58,2025-05-16 14:00:58,11,2,2,Gold,"Premium Welcome Drink, Evening Turndown Service",,Cancelled,Mastercard,16196.07464288704,32392
BK000007,20863,1320,Suite,2025-06-20 07:08:45,2025-06-24 16:00:45,4,1,2,Platinum,"Welcome Champagne, Airport Transfer",,Checked-out,JCB 16 digit,6252.719533170402,18758
BK000008,28006,0301,Standard,2025-09-25 17:39:20,2025-10-11 05:39:20,14,2,0,Titanium,"Luxury Airport Transfer, Personal Chef Available",,Checked-in,JCB 16 digit,4985.163546595153,19940
BK000009,16931,1315,Suite,2025-03-03 09:08:13,2025-03-15 16:00:13,12,3,1,Platinum,"Premium Amenities, Airport Transfer","Away from elevator, Connecting rooms needed, King bed preferred, Feather-free bedding required, Early breakfast requested, In-room dining setup requested, Proposal setup assistance needed, Anniversary celebration - room decoration requested, International power adapter needed, Air purifier needed, Business center access after hours, Office supplies needed in room, Airport pickup requested, Train station pickup needed, Air purifier due to allergies, Personal trainer session requested",Confirmed,VISA 16 digit,24542.29367220227,73626
BK000010,40478,0917,Deluxe,2025-07-03 08:58:11,2025-07-16 11:00:11,13,2,0,Bronze,"Basic WiFi, Welcome Drink",,Cancelled,American Express,9129.431927151525,9129
BK000011,47874,1106,Deluxe,2025-03-18 20:23:58,2025-03-24 11:00:58,6,1,1,Bronze,"Basic WiFi, Welcome Drink",,Checked-out,VISA 16 digit,4373.4593515044635,4373
BK000012,27767,0817,Deluxe,2024-09-10 17:24:13,2024-09-25 05:24:13,13,2,0,Titanium,"Luxury Airport Transfer, Premium Welcome Gift",,Cancelled,VISA 13 digit,7991.099301166449,31964
BK000013,40252,1113,Deluxe,2025-02-11 03:57:34,2025-02-24 11:00:34,13,1,0,Bronze,"Welcome Drink, Basic WiFi",,Checked-in,VISA 13 digit,8202.417321146087,8202
BK000014,6799,1929,Presidential Suite,2025-01-26 02:49:36,2025-01-29 11:00:36,3,4,1,Bronze,"Basic WiFi, Welcome Drink",,Checked-out,JCB 16 digit,23058.515251179928,23058
BK000015,22634,1303,Suite,2024-06-06 17:08:03,2024-06-16 11:00:03,10,3,1,Bronze,"Welcome Drink, Basic WiFi","Room with balcony requested, Away from elevator, Extra firm pillows, Extra pillows needed, Dairy-free diet restrictions, Gluten-free meals required, Honeymoon package requested, Special occasion cake needed, Extra hangers needed, Humidifier requested, Business center access after hours, Late check-out needed, Airport pickup requested, Helicopter transfer requested, Fitness equipment in room requested, Daily yoga session scheduling",Cancelled,JCB 16 digit,18894.31091590403,18894
BK000016,19548,1820,Presidential Suite,2025-09-14 21:24:19,2025-09-25 09:24:19,9,4,1,Titanium,"Premium Welcome Gift, Private Butler Service",,Cancelled,JCB 15 digit,45415.0579869199,181660
BK000017,23288,0312,Standard,2025-07-04 15:13:20,2025-07-12 13:00:20,8,2,0,Silver,"Fruit Basket, Welcome Drink","Away from elevator, Room with balcony requested, Accessible room required, Memory foam pillows requested, Feather-free bedding required, King bed preferred, Dairy-free diet restrictions, Kosher meals required, Vegan menu requested, Wedding anniversary celebration, Romance package requested, Honeymoon package requested, Extra coffee supplies requested, International power adapter needed, Air purifier needed, Business center access after hours, Video conference setup assistance, Office supplies needed in room, Luxury car rental assistance, Train station pickup needed, Airport pickup requested, Specific medical equipment storage, Daily yoga session scheduling, Air purifier due to allergies",Checked-out,Maestro,3335.5865116630807,5003
BK000018,21879,0701,Deluxe,2024-04-29 14:19:47,2024-05-10 02:19:47,9,2,1,Titanium,"Custom Room Fragrance, Private Butler Service",,Confirmed,VISA 16 digit,4765.133817738327,19060
BK000019,15569,0309,Standard,2025-06-27 14:24:12,2025-07-01 02:24:12,2,2,0,Titanium,"Custom Room Fragrance, Luxury Airport Transfer","Room with bathtub preferred, Extra pillows needed, In-room dining setup requested, Honeymoon package requested, International power adapter needed, Late check-out needed, Helicopter transfer requested, Personal trainer session requested",Checked-in,Mastercard,785.9713341530608,3143
BK000020,41843,0610,Deluxe,2025-01-27 16:48:03,2025-01-31 04:48:03,2,2,0,Titanium,"Personal Chef Available, Premium Welcome Gift",,Checked-out,Diners Club / Carte Blanche,1323.3032234349032,5293
BK000021,13002,1717,Suite,2024-04-03 02:11:41,2024-04-10 14:00:41,7,3,0,Gold,"Evening Turndown Service, Executive Lounge Access",,Cancelled,American Express,14821.7893522102,29643
BK000022,45324,1826,Presidential Suite,2024-08-15 23:04:41,2024-08-23 11:00:41,8,4,1,Bronze,"Welcome Drink, Basic WiFi",,Checked-out,VISA 19 digit,61108.21735185314,61108
BK000023,48206,0211,Standard,2025-05-11 03:03:03,2025-05-14 16:00:03,3,2,0,Platinum,"Airport Transfer, Welcome Champagne","Room with balcony requested, Away from elevator, Extra pillows needed, Hypoallergenic bedding required, Halal food only, Vegan menu requested, Birthday surprise setup needed, Champagne and strawberries setup, Air purifier needed, Yoga mat in room, Office supplies needed in room, Meeting room setup needed, Airport pickup requested, Helicopter transfer requested, Personal trainer session requested, Fitness equipment in room requested",Confirmed,American Express,1118.9088699652098,3356
BK000024,5843,1128,Deluxe,2025-06-07 03:24:54,2025-06-18 16:00:54,11,3,0,Platinum,"Airport Transfer, Evening Turndown Service",,Checked-out,VISA 16 digit,7752.112616367318,23256
BK000025,30984,1221,Suite,2024-07-14 01:00:52,2024-07-16 13:00:52,1,1,0,Titanium,"Custom Room Fragrance, Premium Welcome Gift",,Checked-out,VISA 13 digit,1140.1396637971127,4560
BK000026,36908,1009,Deluxe,2024-10-09 04:56:10,2024-10-23 13:00:10,14,3,0,Silver,"Fruit Basket, Premium WiFi","Accessible room required, Quiet room requested, Ocean view preferred, Extra firm pillows, Memory foam pillows requested, King bed preferred, Early breakfast requested, Halal food only, In-room dining setup requested, Romance package requested, Wedding anniversary celebration, Birthday surprise setup needed, Extra coffee supplies requested, Extra towels needed, Specific brand toiletries requested, Office supplies needed in room, Early check-in requested for business meeting, Printing services required, Helicopter transfer requested, Airport pickup requested, Luxury car rental assistance, Personal trainer session requested, Specific medical equipment storage, Spa appointment scheduling assistance",Confirmed,Diners Club / Carte Blanche,12585.866921046136,18878
BK000027,16616,0507,Deluxe,2024-03-12 15:54:46,2024-03-14 14:00:46,2,3,0,Gold,"Premium Welcome Drink, Executive Lounge Access","Room with balcony requested, High floor room requested, Corner room preferred, Crib needed for infant, Memory foam pillows requested, King bed preferred, Gluten-free meals required, Halal food only, In-room dining setup requested, Birthday surprise setup needed, Wedding anniversary celebration, Anniversary celebration - room decoration requested, Humidifier requested, Extra towels needed, Air purifier needed, Business center access after hours, Video conference setup assistance, Office supplies needed in room, Luxury car rental assistance, Airport pickup requested, Daily driver service requested, Personal trainer session requested, Air purifier due to allergies, Fitness equipment in room requested",Checked-in,American Express,1536.6310134844905,3073
BK000028,3512,0513,Deluxe,2025-05-27 14:45:20,2025-05-29 16:00:20,2,3,0,Platinum,"Evening Turndown Service, Welcome Champagne",,Cancelled,Diners Club / Carte Blanche,1664.0379133297783,4992
BK000029,9504,0806,Deluxe,2025-06-07 07:36:13,2025-06-16 14:00:13,9,2,0,Gold,"Premium Welcome Drink, Executive Lounge Access",,Cancelled,JCB 16 digit,6344.650319879442,12689
BK000030,29026,1616,Suite,2024-07-05 07:49:49,2024-07-10 19:49:49,4,4,0,Titanium,"Personal Chef Available, Premium Welcome Gift",,Confirmed,American Express,7292.061067747166,29168
BK000031,17240,1728,Suite,2025-03-23 06:18:54,2025-03-31 11:00:54,8,2,2,Bronze,"Welcome Drink, Basic WiFi",No special requests,Checked-out,Maestro,20760.376132911195,20760
BK000032,26661,1214,Suite,2025-11-24 16:21:32,2025-12-08 13:00:32,14,4,0,Silver,"Premium WiFi, Fruit Basket","High floor room requested, Memory foam pillows requested, Dairy-free diet restrictions, Romance package requested, Air purifier needed, Early check-in requested for business meeting, Airport pickup requested, Daily yoga session scheduling",Checked-in,Diners Club / Carte Blanche,28723.271191029817,43084
