feedback_id,booking_id,customer_id,rating,feedback_text,feedback_date,sentiment,category,subcategory,feedback_source,language,is_verified_stay,helpful_votes,satisfaction_scores,tags,status,response_required,response_text,staff_response,response_date,response_time_hours,resolved
FB000001,BK046730,48297,4,"The room met standard expectations. air conditioning was inconsistent Nothing particularly stood out, either positively or negatively. Updated facilities would enhance the experience. It served its purpose but left room for improvement. Met basic needs but left room for improvement.",2024-12-12 13:00:19,neutral,room,cleanliness,email,de,True,60,"{'cleanliness': 5, 'service': 1, 'value': 3, 'location': 4, 'amenities': 5}","comfort, room quality, amenities",resolved,False,We appreciate your honest feedback about our room. We value your feedback and take it seriously. We are continuously working to improve our services.,We appreciate your honest feedback about our room. We value your feedback and take it seriously. We are continuously working to improve our services.,2024-12-13 20:00:19,31.0,True
FB000002,BK036590,26661,1,I was disappointed with the room experience. air conditioning was inconsistent This was not what I expected from a hotel of this caliber. Addressing the amenities would greatly improve the experience. Several issues need to be addressed. Hope management takes these issues seriously.,2025-05-10 13:00:01,negative,room,maintenance,email,de,True,15,"{'cleanliness': 1, 'service': 4, 'value': 1, 'location': 3, 'amenities': 5}","comfort, maintenance",pending,True,We're sorry to hear about your issues with our room. We value your feedback and take it seriously. We are continuously working to improve our services. Please contact our guest relations team to discuss this further.,We're sorry to hear about your issues with our room. We value your feedback and take it seriously. We are continuously working to improve our services. Please contact our guest relations team to discuss this further.,2025-05-11 11:00:01,22.0,False
FB000003,BK001092,9972,5,What an outstanding service experience! efficient check-in process Every aspect was carefully thought out. Everything was handled with utmost professionalism. It's rare to find this level of excellence. This sets a new standard for excellence.,2024-03-29 21:07:50,positive,service,valet,mobile,fr,True,44,"{'cleanliness': 1, 'service': 3, 'value': 2, 'location': 3, 'amenities': 3}",professionalism,resolved,True,We're delighted to hear about your experience with our service. We value your feedback and take it seriously. We hope to see you again!,,2024-03-31 13:07:50,40.0,True
FB000004,BK034638,26872,5,What an outstanding dining experience! authentic local cuisine Every aspect was carefully thought out. Every aspect exceeded our expectations. It's rare to find this level of excellence. I can't wait to visit again.,2025-11-07 11:00:08,positive,dining,menu variety,mobile,es,True,26,"{'cleanliness': 1, 'service': 3, 'value': 4, 'location': 4, 'amenities': 2}","menu, restaurant",resolved,True,Your kind words about our dining mean a lot to us. We value your feedback and take it seriously. Please visit us again soon!,Your kind words about our dining mean a lot to us. We value your feedback and take it seriously. Please visit us again soon!,2025-11-08 23:00:08,36.0,True
FB000005,BK011053,3094,4,"The service exceeded all my expectations. quick response to requests Throughout my stay, I was consistently impressed. Everything was handled with utmost professionalism. This level of quality really sets this hotel apart. I can't wait to visit again.",2025-11-07 14:00:54,positive,service,front desk,in-person,es,True,96,"{'cleanliness': 5, 'service': 4, 'value': 4, 'location': 2, 'amenities': 2}","responsiveness, service quality, professionalism",resolved,False,We're delighted to hear about your experience with our service. We value your feedback and take it seriously. We hope to see you again!,,2025-11-08 05:00:54,15.0,True
FB000006,BK026839,23506,4,"The amenities was adequate for my needs. limited business center hours While not exceptional, it met basic expectations. Enhanced quality control measures are necessary. There's potential for improvement but it was acceptable overall. With some refinements, this could be excellent.",2025-11-22 16:00:54,neutral,amenities,gym,phone,fr,True,32,"{'cleanliness': 1, 'service': 3, 'value': 1, 'location': 1, 'amenities': 4}",maintenance,resolved,False,We appreciate your honest feedback about our amenities. We value your feedback and take it seriously. We are continuously working to improve our services.,,2025-11-23 17:00:54,25.0,True
FB000007,BK011356,31503,4,What an outstanding amenities experience! great spa services Every aspect was carefully thought out. Couldn't have asked for a better experience. It's rare to find this level of excellence. I can't wait to visit again.,2025-08-06 13:00:46,positive,amenities,spa,email,de,True,63,"{'cleanliness': 4, 'service': 3, 'value': 5, 'location': 1, 'amenities': 3}",quality,resolved,True,We're delighted to hear about your experience with our amenities. We value your feedback and take it seriously. We hope to see you again!,We're delighted to hear about your experience with our amenities. We value your feedback and take it seriously. We hope to see you again!,2025-08-07 12:00:46,23.0,True
FB000008,BK047610,38377,4,"The dining was adequate for my needs. beautiful presentation While not exceptional, it met basic expectations. Regular maintenance would prevent these issues. There's potential for improvement but it was acceptable overall. Would consider other options next time.",2025-03-11 16:00:38,neutral,dining,menu variety,email,en,True,93,"{'cleanliness': 5, 'service': 2, 'value': 4, 'location': 1, 'amenities': 1}","food quality, menu, restaurant",resolved,False,Thank you for your feedback regarding our dining. We value your feedback and take it seriously. We are continuously working to improve our services.,,2025-03-12 16:00:38,24.0,True
FB000009,BK036957,36048,4,I can't say enough good things about the room. comfortable bed and linens The quality was consistently high throughout my stay. The level of service was outstanding. This is exactly what you hope for in a luxury hotel. Looking forward to my next stay here.,2025-12-31 14:00:06,positive,room,comfort,web,de,True,55,"{'cleanliness': 2, 'service': 5, 'value': 5, 'location': 2, 'amenities': 1}","housekeeping, amenities",resolved,False,We're delighted to hear about your experience with our room. We value your feedback and take it seriously. We hope to see you again!,We're delighted to hear about your experience with our room. We value your feedback and take it seriously. We hope to see you again!,2025-12-31 17:00:06,3.0,True
FB000010,BK017172,9218,5,I had an exceptional service experience during my stay. efficient check-in process The attention to detail was remarkable. Everything was handled with utmost professionalism. I would definitely recommend this aspect of the hotel to others. I will definitely be returning on my next visit.,2024-06-05 16:00:03,positive,service,front desk,phone,de,True,63,"{'cleanliness': 5, 'service': 2, 'value': 2, 'location': 4, 'amenities': 2}",service quality,resolved,False,We're delighted to hear about your experience with our service. We value your feedback and take it seriously. We hope to see you again!,,2024-06-07 09:00:03,41.0,True
