payment_id,booking_id,amount,payment_method,payment_provider,status,timestamp,processing_fee,total_charged
PAY000001,BK000001,12550.217064874132,Credit Card,American Express,Completed,2024-03-28 20:19:29,364.25629488134985,12914.473359755482
PAY000002,BK000002,1575.0926323936228,Bank Transfer,Wire Transfer,Completed,2024-12-10 04:16:46,18.750926323936227,1593.843558717559
PAY000003,BK000002,7875.463161968113,Bank Transfer,Wire Transfer,Completed,2024-12-13 04:16:46,93.75463161968113,7969.217793587794
PAY000004,BK000003,3890.8863560205837,Debit Card,MasterCard Debit,Completed,2024-08-23 15:36:00,58.563295340308755,3949.4496513608924
PAY000005,BK000004,7474.905836532366,Corporate Account,Corporate Card,Completed,2024-05-19 22:47:30,74.74905836532366,7549.65489489769
PAY000006,BK000005,4426.074946126007,Credit Card,MasterCard,Completed,2025-11-05 02:01:34,128.65617343765422,4554.731119563661
PAY000007,BK000006,16196.07464288704,Corporate Account,Corporate Card,Completed,2025-05-04 01:47:58,161.9607464288704,16358.035389315912
PAY000008,BK000007,6252.719533170402,Debit Card,MasterCard Debit,Completed,2025-05-28 07:08:45,93.99079299755604,6346.710326167959
PAY000009,BK000008,4985.163546595153,Credit Card,MasterCard,Completed,2025-08-26 17:39:20,144.86974285125945,5130.033289446413
PAY000010,BK000009,24542.29367220227,Credit Card,Visa,Completed,2025-02-06 09:08:13,712.0265164938659,25254.320188696136
PAY000011,BK000010,9129.431927151525,Credit Card,Visa,Completed,2025-06-15 08:58:11,265.05352588739424,9394.48545303892
PAY000012,BK000011,4373.4593515044635,Credit Card,Visa,Completed,2025-03-05 20:23:58,127.13032119362944,4500.589672698093
PAY000013,BK000012,7991.099301166449,Credit Card,American Express,Completed,2024-09-06 17:24:13,232.04187973382705,8223.141180900275
PAY000014,BK000013,1640.4834642292176,Bank Transfer,ACH,Completed,2025-01-02 03:57:34,19.404834642292176,1659.8882988715097
PAY000014,BK000013,8202.417321146087,Bank Transfer,ACH,Completed,2025-01-15 03:57:34,97.02417321146088,8299.441494357548
PAY000016,BK000014,23058.515251179928,Credit Card,Discover,Completed,2025-01-01 02:49:36,668.9969422842179,23727.512193464147
PAY000017,BK000015,3778.862183180806,Bank Transfer,ACH,Completed,2024-04-28 17:08:03,40.78862183180806,3819.650805012614
PAY000017,BK000015,18894.31091590403,Bank Transfer,ACH,Completed,2024-05-20 17:08:03,203.9431091590403,19098.25402506307
PAY000019,BK000016,9083.01159738398,Bank Transfer,SEPA,Completed,2025-07-22 21:24:19,93.83011597383981,9176.84171335782
PAY000019,BK000016,45415.0579869199,Bank Transfer,SEPA,Completed,2025-08-19 21:24:19,469.150579869199,45884.2085667891
PAY000021,BK000017,3335.5865116630807,Credit Card,MasterCard,Completed,2025-06-25 15:13:20,97.03200883822934,3432.6185205013103
PAY000022,BK000018,4765.133817738327,Credit Card,MasterCard,Completed,2024-04-08 14:19:47,138.4888807144115,4903.622698452738
PAY000023,BK000019,785.9713341530608,Debit Card,MasterCard Debit,Completed,2025-06-10 14:24:12,11.98957001229591,797.9609041653566
PAY000024,BK000020,1323.3032234349032,Credit Card,MasterCard,Completed,2025-01-22 16:48:03,38.67579347961219,1361.9790169145153
PAY000025,BK000021,14821.7893522102,Corporate Account,Direct Billing,Completed,2024-03-17 02:11:41,148.217893522102,14970.007245732302
PAY000026,BK000022,12221.643470370629,Bank Transfer,SEPA,Completed,2024-06-25 23:04:41,125.2164347037063,12346.859905074336
PAY000026,BK000022,61108.21735185314,Bank Transfer,SEPA,Completed,2024-07-21 23:04:41,626.0821735185315,61734.29952537167
PAY000028,BK000023,1118.9088699652098,Debit Card,MasterCard Debit,Completed,2025-04-18 03:03:03,16.983633049478144,1135.892503014688
PAY000029,BK000024,7752.112616367318,Credit Card,MasterCard,Completed,2025-05-22 03:24:54,225.11126587465225,7977.22388224197
