booking_id,customer_id,restaurant,booking_date,time_slot,party_size,special_requests,dietary_requirements
RB000001,22768,Sunset Restaurant,2024-02-01 10:42:11,17:00,5,Booster seat needed; Bar seating; Custom menu tasting,Gluten-free
RB000002,23381,Skyline Lounge,2025-09-17 20:28:11,19:00,2,Vegan menu options,Vegan
RB000003,5494,Skyline Lounge,2025-10-27 22:01:28,15:00,7,Private booth; Custom menu tasting,None
RB000004,1444,Skyline Lounge,2024-11-26 06:38:57,14:00,4,Anniversary celebration - special dessert requested,Vegetarian
RB000005,45122,Blue Horizon Main,2024-08-13 02:56:35,20:00,7,Nut-free preparation required; Extra space for medical equipment; Sommelier assistance requested,Vegetarian
RB000006,25397,Ocean View Grill,2025-03-31 06:09:11,11:00,7,Halal meal options; Extra space for medical equipment; Sommelier assistance requested,Vegetarian
RB000007,44344,Sunset Restaurant,2025-05-25 11:11:03,11:00,4,Sommelier assistance requested; Family reunion dinner; Wheelchair accessible table needed,Vegetarian
RB000008,27881,Ocean View Grill,2024-03-22 23:14:14,22:00,4,Easy access seating required; Dairy-free alternatives needed; Sommelier assistance requested,Vegetarian
RB000009,16901,Blue Horizon Main,2025-09-21 05:20:11,22:00,6,Wine pairing recommendations needed; Halal meal options; Birthday celebration - cake arranged; Quiet corner table,Vegan
RB000010,46782,Ocean View Grill,2025-06-23 17:51:14,15:00,2,,Halal
RB000011,40475,Ocean View Grill,2024-02-26 17:04:02,17:00,8,High chair required; Early arrival for cocktails; Dairy-free alternatives needed; Bar seating,None
RB000012,12562,Blue Horizon Main,2025-10-04 05:07:42,21:00,7,Gluten-free options required; Bar seating; Sommelier assistance requested,None
RB000013,10081,Ocean View Grill,2024-05-30 14:56:40,22:00,3,Early arrival for cocktails; Vegetarian menu options,Vegetarian
RB000014,13240,Sunset Restaurant,2024-04-02 05:42:01,20:00,1,Private booth; Engagement celebration,Halal
RB000015,10279,Skyline Lounge,2024-01-23 01:19:30,20:00,2,Chef's tasting menu requested,Vegan
RB000016,37392,Blue Horizon Main,2024-06-12 04:05:45,21:00,5,Special wine to be decanted; Vegan menu options; Quiet corner table,None
RB000017,15802,Sunset Restaurant,2024-09-08 16:15:23,21:00,8,Chef's tasting menu requested; Easy access seating required; Dairy-free alternatives needed; Anniversary celebration - special dessert requested,Vegan
RB000018,32203,Skyline Lounge,2024-10-23 06:13:23,18:00,3,Sommelier assistance requested; Near the fireplace; Vegan menu options,Halal
RB000019,11281,Sunset Restaurant,2024-07-20 20:53:26,22:00,1,Romantic dinner setup requested; Extra space for medical equipment,Vegetarian
RB000020,41584,Ocean View Grill,2025-08-27 20:53:43,19:00,5,Wine pairing recommendations needed; Romantic dinner setup requested,Halal
RB000021,20865,Ocean View Grill,2024-06-13 20:48:30,19:00,4,Romantic dinner setup requested; Wine pairing recommendations needed,Vegetarian
RB000022,9900,Skyline Lounge,2024-07-07 19:01:43,16:00,3,Custom menu tasting,None
RB000023,18604,Ocean View Grill,2024-10-27 11:49:58,22:00,7,Birthday celebration - cake arranged; Extra space for medical equipment; Vegan menu options; Custom menu tasting,Gluten-free
RB000024,13831,Skyline Lounge,2025-12-06 10:19:50,15:00,5,Shellfish allergy - strict preparation required; Wheelchair accessible table needed,Vegetarian
RB000025,16035,Ocean View Grill,2025-01-09 22:34:01,15:00,4,Chef's tasting menu requested; Near the fireplace,None
RB000026,2442,Ocean View Grill,2024-07-19 04:58:03,22:00,3,Family reunion dinner; Custom menu tasting,Vegan
RB000027,38883,Skyline Lounge,2024-08-09 18:18:06,12:00,8,Anniversary celebration - special dessert requested; Near the fireplace; Shellfish allergy - strict preparation required,None
RB000028,40015,Blue Horizon Main,2024-06-01 11:54:22,16:00,8,Anniversary celebration - special dessert requested; Vegetarian menu options; Custom menu tasting,Gluten-free
RB000029,5697,Blue Horizon Main,2024-07-12 04:50:59,17:00,3,Romantic dinner setup requested,None
RB000030,27471,Sunset Restaurant,2024-05-08 20:14:00,12:00,3,Wheelchair accessible table needed,None
RB000031,24567,Blue Horizon Main,2024-07-13 09:06:48,16:00,2,Wheelchair accessible table needed; Custom menu tasting,Vegan
RB000032,3330,Sunset Restaurant,2025-03-03 13:20:17,12:00,2,Kosher meal options,Vegetarian
RB000033,3212,Ocean View Grill,2024-11-27 06:21:20,14:00,5,Near the fireplace,Vegan
RB000034,25216,Skyline Lounge,2025-02-22 23:36:25,16:00,3,Romantic dinner setup requested; Halal meal options; Chef's tasting menu requested,Vegetarian
RB000035,33001,Ocean View Grill,2024-06-12 10:26:30,14:00,7,Early arrival for cocktails; Anniversary celebration - special dessert requested; Outdoor seating; Booster seat needed,Vegetarian
RB000036,26953,Skyline Lounge,2024-07-04 02:18:21,11:00,2,,Gluten-free
RB000037,30022,Ocean View Grill,2025-03-20 14:42:30,13:00,1,Vegetarian menu options; Birthday celebration - cake arranged,Gluten-free
RB000038,48512,Sunset Restaurant,2025-12-19 22:00:08,11:00,3,Business dinner - discrete service requested,Gluten-free
RB000039,44200,Blue Horizon Main,2025-05-31 01:50:41,19:00,1,,Vegetarian
RB000040,2369,Skyline Lounge,2024-05-11 16:46:58,16:00,5,Business dinner - discrete service requested; High chair required; Near the fireplace,Vegan
RB000041,10683,Sunset Restaurant,2024-02-08 12:01:15,12:00,7,Wheelchair accessible table needed; Nut-free preparation required; Chef's tasting menu requested; Outdoor seating,Vegan
RB000042,27571,Blue Horizon Main,2024-05-22 10:06:44,16:00,4,High chair required; Shellfish allergy - strict preparation required,Vegan
RB000043,14917,Skyline Lounge,2024-03-16 03:50:13,20:00,4,Extra space for medical equipment; Birthday celebration - cake arranged,Vegetarian
RB000044,5464,Skyline Lounge,2025-07-01 13:36:03,18:00,8,Window table with ocean view; Gluten-free options required,Vegan
RB000045,15909,Skyline Lounge,2025-07-28 14:13:02,15:00,5,Extra space for medical equipment,Halal
RB000046,30355,Sunset Restaurant,2025-11-24 23:23:02,16:00,3,Gluten-free options required; Anniversary celebration - special dessert requested,None
RB000047,31510,Ocean View Grill,2025-12-11 14:52:11,14:00,3,Engagement celebration; Quiet corner table,Vegan
RB000048,35538,Blue Horizon Main,2025-05-01 20:10:44,19:00,1,Private booth,Halal
RB000049,40203,Blue Horizon Main,2025-03-08 13:03:07,21:00,3,Kosher meal options; Private booth,Gluten-free
RB000050,21787,Skyline Lounge,2025-01-14 12:29:25,16:00,7,Sommelier assistance requested; Outdoor seating; Wheelchair accessible table needed,Vegetarian
RB000051,19034,Skyline Lounge,2025-04-04 07:43:39,16:00,7,Special wine to be decanted; Shellfish allergy - strict preparation required; Private booth; Easy access seating required,Gluten-free
RB000052,34203,Ocean View Grill,2024-09-21 08:56:45,13:00,4,Bar seating; Wheelchair accessible table needed,Vegetarian
RB000053,25829,Skyline Lounge,2025-09-14 00:06:05,21:00,4,Business dinner - discrete service requested; Special wine to be decanted,Gluten-free
RB000054,33004,Ocean View Grill,2025-12-10 14:47:51,11:00,3,Anniversary celebration - special dessert requested; Near the fireplace; Gluten-free options required,Vegan
RB000055,35240,Sunset Restaurant,2025-11-02 08:28:51,11:00,8,Outdoor seating; Anniversary celebration - special dessert requested,Gluten-free
RB000056,40949,Sunset Restaurant,2024-01-16 16:55:33,13:00,1,,Gluten-free
RB000057,2452,Skyline Lounge,2024-08-09 20:52:26,15:00,3,Business dinner - discrete service requested; Wheelchair accessible table needed,Vegan
RB000058,36819,Skyline Lounge,2024-05-11 09:08:09,13:00,2,Quiet corner table; Engagement celebration,Gluten-free
RB000059,32664,Sunset Restaurant,2024-08-21 19:00:41,19:00,4,Nut-free preparation required; Chef's tasting menu requested; Private booth,None
RB000060,23303,Sunset Restaurant,2025-03-29 23:02:03,12:00,2,Kosher meal options,Vegan
RB000061,13567,Ocean View Grill,2025-08-06 13:32:09,17:00,3,Anniversary celebration - special dessert requested,Vegetarian
RB000062,22846,Ocean View Grill,2024-12-14 07:37:12,13:00,8,Quiet corner table; Sommelier assistance requested; High chair required; Kosher meal options,Vegetarian
RB000063,26206,Sunset Restaurant,2024-02-02 03:13:08,15:00,2,Romantic dinner setup requested; Dairy-free alternatives needed,Vegan
RB000064,29911,Skyline Lounge,2025-07-14 11:04:11,22:00,2,Booster seat needed,Vegan
RB000065,47894,Skyline Lounge,2024-07-22 10:22:40,11:00,2,Shellfish allergy - strict preparation required; Early arrival for cocktails,Halal
RB000066,5902,Skyline Lounge,2024-08-14 00:05:03,19:00,2,Private booth; High chair required,Gluten-free
RB000067,12627,Skyline Lounge,2025-09-15 06:11:44,11:00,3,Halal meal options; Sommelier assistance requested,Gluten-free
RB000068,35969,Skyline Lounge,2025-07-16 12:07:22,12:00,6,Birthday celebration - cake arranged; Vegetarian menu options; Wine pairing recommendations needed,Vegan
RB000069,9072,Blue Horizon Main,2025-04-17 00:29:01,14:00,8,Anniversary celebration - special dessert requested; High chair required; Custom menu tasting,None
RB000070,17431,Blue Horizon Main,2024-08-16 12:42:32,20:00,5,Romantic dinner setup requested; Special wine to be decanted; Extra space for medical equipment,Gluten-free
RB000071,6430,Blue Horizon Main,2025-09-12 11:25:16,17:00,7,Bar seating; Early arrival for cocktails,Halal
RB000072,40215,Ocean View Grill,2025-10-14 13:05:17,19:00,5,Near the fireplace; Birthday celebration - cake arranged; Gluten-free options required,Vegan
RB000073,42007,Skyline Lounge,2024-02-13 13:12:23,14:00,2,,Vegetarian
RB000074,38447,Ocean View Grill,2025-08-22 23:29:11,18:00,2,,Halal
RB000075,22438,Sunset Restaurant,2024-07-07 14:46:28,20:00,8,Window table with ocean view; Anniversary celebration - special dessert requested; Booster seat needed; Nut-free preparation required,None
RB000076,35048,Skyline Lounge,2024-02-21 12:41:59,14:00,6,Halal meal options; Engagement celebration,Gluten-free
RB000077,41747,Ocean View Grill,2025-03-03 11:24:20,15:00,8,Bar seating; Easy access seating required; Sommelier assistance requested,Vegetarian
RB000078,1955,Blue Horizon Main,2024-10-26 08:15:08,16:00,4,Special wine to be decanted; Vegetarian menu options; Wheelchair accessible table needed,Vegetarian
RB000079,21292,Sunset Restaurant,2025-09-11 18:18:28,14:00,3,Wheelchair accessible table needed; Early arrival for cocktails; Quiet corner table,Gluten-free
RB000080,26653,Skyline Lounge,2025-08-12 22:55:40,11:00,5,Business dinner - discrete service requested,Vegan
RB000081,5772,Sunset Restaurant,2025-10-05 09:13:19,19:00,1,,None
RB000082,7201,Blue Horizon Main,2025-05-18 16:22:47,17:00,8,Window table with ocean view; Shellfish allergy - strict preparation required,Gluten-free
RB000083,41535,Blue Horizon Main,2024-05-03 04:32:48,11:00,5,Wine pairing recommendations needed; Wheelchair accessible table needed; Dairy-free alternatives needed,None
RB000084,21651,Skyline Lounge,2024-04-06 01:14:08,15:00,6,Special wine to be decanted; High chair required; Outdoor seating,Vegetarian
RB000085,16099,Sunset Restaurant,2025-01-13 10:20:07,12:00,5,Early arrival for cocktails; High chair required,Halal
RB000086,25205,Blue Horizon Main,2025-09-08 02:17:34,20:00,5,Shellfish allergy - strict preparation required; Private booth,Gluten-free
RB000087,33163,Sunset Restaurant,2025-01-05 14:49:18,17:00,1,Dairy-free alternatives needed; Custom menu tasting,None
RB000088,44912,Blue Horizon Main,2025-01-07 11:59:09,12:00,7,Near the fireplace; Wine pairing recommendations needed,Vegan
RB000089,12206,Skyline Lounge,2025-02-07 17:25:42,22:00,3,Wheelchair accessible table needed; Bar seating,Vegan
RB000090,43237,Skyline Lounge,2025-02-26 23:58:30,13:00,2,Gluten-free options required,Vegan
RB000091,41520,Ocean View Grill,2025-04-16 16:17:25,18:00,8,Halal meal options; Romantic dinner setup requested; Wine pairing recommendations needed,Gluten-free
RB000092,7152,Ocean View Grill,2024-06-03 22:59:59,14:00,3,Private booth; Engagement celebration,Vegan
RB000093,49207,Blue Horizon Main,2025-10-08 21:00:25,18:00,4,Near the fireplace; Easy access seating required; Anniversary celebration - special dessert requested,Gluten-free
RB000094,45218,Ocean View Grill,2024-04-15 04:04:36,16:00,7,Wheelchair accessible table needed; Window table with ocean view,Halal
RB000095,29313,Skyline Lounge,2024-08-30 09:57:07,15:00,7,Nut-free preparation required; Early arrival for cocktails; Bar seating,None
RB000096,4090,Sunset Restaurant,2025-02-28 20:50:27,21:00,3,Booster seat needed; Chef's tasting menu requested; Outdoor seating,Vegan
RB000097,34193,Sunset Restaurant,2024-10-11 21:38:31,11:00,3,Birthday celebration - cake arranged,None
RB000098,31884,Blue Horizon Main,2024-04-12 10:09:22,15:00,8,Anniversary celebration - special dessert requested; Vegetarian menu options,Halal
RB000099,47222,Blue Horizon Main,2025-12-30 21:41:35,19:00,7,Business dinner - discrete service requested; High chair required; Vegetarian menu options; Window table with ocean view,Gluten-free
RB000100,28050,Sunset Restaurant,2024-10-22 15:40:51,11:00,8,Dairy-free alternatives needed; Booster seat needed,Vegan
RB000101,1253,Blue Horizon Main,2025-08-28 04:27:54,16:00,1,Sommelier assistance requested; Near the fireplace,Halal
RB000102,42442,Skyline Lounge,2025-09-14 14:08:04,20:00,3,Near the fireplace; Extra space for medical equipment; Chef's tasting menu requested,None
RB000103,24457,Blue Horizon Main,2024-05-16 06:14:43,17:00,7,Family reunion dinner; Wheelchair accessible table needed,Vegan
RB000104,24027,Blue Horizon Main,2024-04-02 18:46:49,12:00,8,Easy access seating required; Gluten-free options required; Early arrival for cocktails; Business dinner - discrete service requested,Gluten-free
RB000105,23296,Blue Horizon Main,2025-02-16 18:27:13,14:00,3,Bar seating; Extra space for medical equipment; Birthday celebration - cake arranged,Vegan
RB000106,47963,Ocean View Grill,2024-07-17 17:55:03,20:00,5,High chair required,Vegetarian
RB000107,18111,Sunset Restaurant,2025-07-23 05:03:04,17:00,1,,Halal
RB000108,20216,Skyline Lounge,2024-06-04 04:07:45,18:00,1,Wheelchair accessible table needed; Kosher meal options,Gluten-free
RB000109,13841,Sunset Restaurant,2024-06-01 19:05:41,11:00,8,Family reunion dinner; Chef's tasting menu requested; High chair required,None
RB000110,49911,Skyline Lounge,2024-10-20 02:42:05,12:00,7,Outdoor seating; Extra space for medical equipment; Early arrival for cocktails,Vegan
RB000111,4024,Sunset Restaurant,2024-02-29 14:32:14,12:00,1,,None
RB000112,9360,Blue Horizon Main,2025-10-06 02:02:06,19:00,6,Romantic dinner setup requested; Easy access seating required,Halal
RB000113,24682,Ocean View Grill,2024-04-02 21:28:28,19:00,4,Near the fireplace; Anniversary celebration - special dessert requested,None
RB000114,11178,Blue Horizon Main,2024-11-16 08:33:45,14:00,3,Near the fireplace,Halal
RB000115,43530,Blue Horizon Main,2024-02-12 08:08:35,21:00,2,Shellfish allergy - strict preparation required; Engagement celebration,Vegetarian
RB000116,29078,Ocean View Grill,2025-04-20 19:16:10,13:00,2,,Vegan
RB000117,4606,Skyline Lounge,2024-07-18 01:50:52,14:00,5,Special wine to be decanted; Family reunion dinner,Gluten-free
RB000118,35861,Blue Horizon Main,2025-12-26 08:36:38,11:00,7,Birthday celebration - cake arranged; Booster seat needed; Private booth,Vegetarian
RB000119,20207,Blue Horizon Main,2024-05-04 08:43:48,12:00,8,Extra space for medical equipment; Outdoor seating,Vegetarian
RB000120,6542,Blue Horizon Main,2024-08-08 20:04:34,11:00,8,Private booth; Anniversary celebration - special dessert requested; Vegetarian menu options; Early arrival for cocktails,Vegan
RB000121,19819,Sunset Restaurant,2025-05-28 00:34:30,17:00,4,Window table with ocean view,Halal
RB000122,15873,Ocean View Grill,2024-10-16 17:17:37,17:00,8,Near the fireplace; Chef's tasting menu requested,None
RB000123,19504,Ocean View Grill,2025-06-25 21:21:25,22:00,6,Vegan menu options; Near the fireplace,Halal
RB000124,18331,Sunset Restaurant,2024-09-09 16:22:42,21:00,6,Private booth; Wheelchair accessible table needed,Vegetarian
RB000125,41709,Blue Horizon Main,2025-05-25 00:02:52,15:00,1,Booster seat needed; Sommelier assistance requested,Vegan
RB000126,31141,Sunset Restaurant,2024-03-14 10:29:36,15:00,6,Sommelier assistance requested; Birthday celebration - cake arranged,Vegan
RB000127,9754,Sunset Restaurant,2025-12-31 16:50:20,12:00,3,Nut-free preparation required; Wine pairing recommendations needed,Halal
RB000128,30594,Sunset Restaurant,2024-09-19 10:29:30,14:00,4,Engagement celebration,Vegetarian
RB000129,5711,Sunset Restaurant,2025-05-06 01:25:00,13:00,1,Anniversary celebration - special dessert requested,Gluten-free
RB000130,42643,Sunset Restaurant,2025-07-14 08:45:00,13:00,8,Nut-free preparation required; Anniversary celebration - special dessert requested; Near the fireplace; Sommelier assistance requested,Halal
RB000131,405,Sunset Restaurant,2025-03-12 05:59:38,16:00,8,Chef's tasting menu requested; Shellfish allergy - strict preparation required; Quiet corner table,Vegetarian
RB000132,35488,Ocean View Grill,2024-11-07 19:25:14,17:00,1,,Halal
RB000133,11334,Sunset Restaurant,2024-07-12 21:02:40,17:00,5,Vegan menu options; Birthday celebration - cake arranged,Vegetarian
RB000134,49672,Blue Horizon Main,2024-01-05 06:55:36,15:00,3,Wine pairing recommendations needed,Vegetarian
RB000135,36166,Ocean View Grill,2024-12-06 05:31:12,20:00,3,Private booth; Booster seat needed; Early arrival for cocktails,None
RB000136,27953,Sunset Restaurant,2025-04-12 19:27:40,19:00,5,Birthday celebration - cake arranged,Gluten-free
RB000137,25213,Skyline Lounge,2024-11-11 16:21:11,16:00,8,Private booth; Birthday celebration - cake arranged; Early arrival for cocktails; Wheelchair accessible table needed,Vegetarian
RB000138,32714,Blue Horizon Main,2025-04-27 03:42:00,19:00,4,Extra space for medical equipment,Halal
RB000139,25826,Sunset Restaurant,2024-11-20 08:24:23,12:00,2,Custom menu tasting,None
RB000140,24384,Blue Horizon Main,2025-07-10 09:05:54,18:00,2,,Halal
RB000141,41872,Blue Horizon Main,2025-05-03 19:30:43,21:00,1,Shellfish allergy - strict preparation required; Chef's tasting menu requested,Vegetarian
RB000142,39701,Ocean View Grill,2024-12-01 17:16:41,13:00,6,Custom menu tasting; Vegan menu options,Vegan
RB000143,18267,Blue Horizon Main,2025-09-21 12:34:20,11:00,8,Near the fireplace; Wheelchair accessible table needed; Sommelier assistance requested,Vegetarian
RB000144,15476,Sunset Restaurant,2025-06-17 02:47:03,15:00,3,Business dinner - discrete service requested; Early arrival for cocktails; Halal meal options,Vegetarian
RB000145,45426,Blue Horizon Main,2025-09-15 07:58:05,13:00,3,Window table with ocean view; Kosher meal options,None
RB000146,6104,Skyline Lounge,2025-09-28 14:56:50,12:00,3,Booster seat needed,Vegetarian
RB000147,31006,Sunset Restaurant,2024-10-20 01:22:38,18:00,8,Family reunion dinner; Shellfish allergy - strict preparation required; High chair required; Early arrival for cocktails,Vegan
RB000148,26392,Sunset Restaurant,2025-02-15 19:20:43,12:00,2,Sommelier assistance requested; Outdoor seating,Halal
RB000149,23207,Ocean View Grill,2024-09-01 09:05:05,14:00,2,,Vegan
RB000150,4092,Skyline Lounge,2024-05-31 08:04:21,18:00,7,Wine pairing recommendations needed; Window table with ocean view; Vegan menu options; Booster seat needed,Gluten-free
RB000151,43415,Sunset Restaurant,2024-06-30 08:12:13,15:00,2,,Gluten-free
RB000152,2301,Ocean View Grill,2025-07-17 08:58:33,20:00,5,Near the fireplace; Anniversary celebration - special dessert requested; Vegetarian menu options,Vegan
RB000153,37330,Sunset Restaurant,2024-03-01 02:29:03,14:00,6,Kosher meal options; Early arrival for cocktails,None
RB000154,23443,Ocean View Grill,2025-12-01 06:37:44,19:00,3,Quiet corner table; Vegan menu options; Business dinner - discrete service requested,None
RB000155,25354,Skyline Lounge,2024-11-08 17:41:06,18:00,1,Family reunion dinner; Nut-free preparation required,Halal
RB000156,33921,Ocean View Grill,2025-09-10 17:25:09,13:00,1,,Vegetarian
RB000157,21937,Ocean View Grill,2024-12-19 14:31:52,16:00,8,Outdoor seating; Vegetarian menu options; Easy access seating required,None
RB000158,39452,Ocean View Grill,2024-05-23 15:48:30,22:00,2,Anniversary celebration - special dessert requested; Gluten-free options required,Gluten-free
RB000159,12666,Skyline Lounge,2024-02-10 01:32:32,14:00,3,Wheelchair accessible table needed,Vegan
RB000160,6802,Skyline Lounge,2025-07-30 17:58:18,21:00,7,Window table with ocean view; Family reunion dinner,None
RB000161,25180,Skyline Lounge,2024-02-18 05:46:57,12:00,2,High chair required; Private booth,Vegetarian
RB000162,35063,Sunset Restaurant,2025-03-15 09:26:57,14:00,8,Custom menu tasting; Booster seat needed; Romantic dinner setup requested,Gluten-free
RB000163,35509,Skyline Lounge,2024-07-11 05:43:18,12:00,1,Vegan menu options,Vegetarian
RB000164,6860,Skyline Lounge,2024-05-06 02:13:03,16:00,7,Extra space for medical equipment; Birthday celebration - cake arranged,Halal
RB000165,2266,Skyline Lounge,2024-05-25 00:51:38,19:00,1,Vegetarian menu options,None
RB000166,14292,Blue Horizon Main,2024-10-07 20:15:53,12:00,2,,None
RB000167,32267,Blue Horizon Main,2025-02-03 06:05:39,21:00,7,Early arrival for cocktails; Romantic dinner setup requested; Private booth; Wheelchair accessible table needed,Gluten-free
RB000168,653,Blue Horizon Main,2025-05-05 01:28:30,16:00,3,Chef's tasting menu requested; Easy access seating required; Engagement celebration,Vegan
RB000169,5084,Ocean View Grill,2024-12-28 09:20:22,16:00,2,Anniversary celebration - special dessert requested,None
RB000170,11398,Skyline Lounge,2025-06-06 20:23:57,11:00,8,Private booth; Nut-free preparation required; Wheelchair accessible table needed,Vegetarian
RB000171,29997,Ocean View Grill,2025-03-25 14:18:54,11:00,3,Kosher meal options; Romantic dinner setup requested; Sommelier assistance requested,Gluten-free
RB000172,39275,Ocean View Grill,2025-04-06 05:45:07,15:00,3,Kosher meal options; Quiet corner table; Early arrival for cocktails,None
RB000173,30725,Ocean View Grill,2025-03-11 14:25:34,17:00,8,Nut-free preparation required; High chair required; Romantic dinner setup requested,Gluten-free
RB000174,46870,Ocean View Grill,2024-05-12 23:16:02,21:00,2,Early arrival for cocktails,Vegan
RB000175,9946,Blue Horizon Main,2024-06-03 18:32:48,15:00,2,,Vegan
RB000176,12474,Blue Horizon Main,2024-08-11 22:45:46,20:00,8,Extra space for medical equipment; Quiet corner table; Halal meal options,Vegan
RB000177,44703,Ocean View Grill,2024-06-05 00:48:24,22:00,4,Dairy-free alternatives needed,Gluten-free
RB000178,42184,Blue Horizon Main,2025-07-22 09:23:33,11:00,3,Near the fireplace; Engagement celebration,Gluten-free
RB000179,19019,Blue Horizon Main,2025-04-18 09:05:34,12:00,4,Custom menu tasting; Nut-free preparation required,Vegetarian
RB000180,16110,Ocean View Grill,2024-01-26 02:19:33,13:00,1,Quiet corner table; Halal meal options,None
RB000181,31827,Blue Horizon Main,2024-02-21 18:44:22,16:00,5,Halal meal options; Wine pairing recommendations needed,Gluten-free
RB000182,30371,Sunset Restaurant,2024-07-04 19:17:00,19:00,7,Sommelier assistance requested; Dairy-free alternatives needed; Booster seat needed; Business dinner - discrete service requested,Gluten-free
RB000183,25841,Skyline Lounge,2024-02-26 10:24:46,12:00,1,Romantic dinner setup requested; Private booth,Halal
RB000184,21408,Blue Horizon Main,2024-05-23 21:03:52,11:00,6,Birthday celebration - cake arranged; Booster seat needed,Halal
RB000185,49856,Blue Horizon Main,2024-08-03 07:40:52,18:00,1,Dairy-free alternatives needed,Vegan
RB000186,48779,Ocean View Grill,2025-05-01 04:40:24,16:00,5,Outdoor seating; High chair required,Vegetarian
RB000187,9382,Ocean View Grill,2024-01-10 00:13:24,12:00,4,Business dinner - discrete service requested; Custom menu tasting,Vegan
RB000188,2809,Skyline Lounge,2024-05-26 01:03:18,15:00,8,Wine pairing recommendations needed; Vegan menu options; Engagement celebration,Halal
