amenity_id,category,name,price,duration,description,availability,location,booking_required,min_notice_hours
AM000001,Spa Services,Swedish Massage,120,60,"Experience pure relaxation with our Swedish Massage, a 60-minute treatment designed to melt away stress and tension. Our certified therapists use premium natural skincare products to precise pressure point therapy, leaving you feeling renewed and revitalized.",24/7,Spa & Wellness Center,True,2
AM000002,Spa Services,Deep Tissue Massage,140,60,"Indulge in our signature Deep Tissue Massage, where 60 minutes of expert care will melt away stress and tension. This treatment features natural skincare products and customized therapeutic approaches to provide rejuvenated and restored.",6:00-22:00,Spa & Wellness Center,False,4
AM000003,Spa Services,Couples Massage Experience,280,90,"Indulge in our signature Couples Massage Experience, where 90 minutes of expert care will melt away stress and tension. This treatment features therapeutic-grade materials and customized therapeutic approaches to provide rejuvenated and restored.",By appointment only,Spa & Wellness Center,False,0
AM000004,Spa Services,Hot Stone Therapy,160,90,"Experience pure relaxation with our Hot Stone Therapy, a 90-minute treatment designed to restore balance to body and mind. Our certified therapists use premium premium aromatherapy blends to precise pressure point therapy, leaving you feeling deeply relaxed and refreshed.",6:00-22:00,Pool Area,False,1
AM000005,Spa Services,Luxury Facial Treatment,180,90,"Indulge in our signature Luxury Facial Treatment, where 90 minutes of expert care will promote deep relaxation and healing. This treatment features therapeutic-grade materials and holistic healing methods to provide deeply relaxed and refreshed.",24/7,Main Building,False,24
AM000006,Spa Services,Deluxe Manicure & Pedicure,120,120,"Indulge in our signature Deluxe Manicure & Pedicure, where 120 minutes of expert care will rejuvenate your skin and spirit. This treatment features organic essential oils and gentle yet effective massage techniques to provide renewed and revitalized.",By appointment only,Main Building,False,4
AM000007,Spa Services,Aromatherapy Journey,150,75,"Experience pure relaxation with our Aromatherapy Journey, a 75-minute treatment designed to promote deep relaxation and healing. Our certified therapists use premium natural skincare products to precise pressure point therapy, leaving you feeling deeply relaxed and refreshed.",6:00-22:00,Pool Area,False,0
AM000008,Fitness Services,Personal Training Session,80,45,"Transform your fitness journey with our Personal Training Session, a 45-minute session that boosts energy and vitality. Our certified trainers will progressive training methods, ensuring stronger and more confident.",By appointment only,Pool Area,False,1
AM000009,Fitness Services,Yoga Class,40,60,"Transform your fitness journey with our Yoga Class, a 60-minute session that enhances flexibility and balance. Our certified trainers will progressive training methods, ensuring refreshed and motivated.",24/7,In-room,True,1
AM000010,Fitness Services,Group Fitness Class,35,45,"Achieve your wellness goals through our Group Fitness Class, featuring 45 minutes of expert form guidance. This session is designed to boosts energy and vitality, leaving you aligned and centered.",24/7,Main Building,True,2
AM000011,Fitness Services,Private Pilates Session,90,60,"Transform your fitness journey with our Private Pilates Session, a 60-minute session that boosts energy and vitality. Our certified trainers will expert form guidance, ensuring aligned and centered.",24/7,Main Building,False,24
AM000012,Fitness Services,Meditation & Mindfulness,60,45,"Transform your fitness journey with our Meditation & Mindfulness, a 45-minute session that targets your specific fitness goals. Our certified trainers will mindful movement practices, ensuring aligned and centered.",By appointment only,In-room,True,2
