room_id,room_number,floor,type,square_feet,basic_amenities,additional_amenities,max_occupancy,bed_type,view_type,accessibility,status,last_renovation,base_rate,max_rate
RM000001,0101,1,Standard,410,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']",['City View'],2,Queen,City View,False,Available,2022-10-25,350,500
RM000002,0102,1,Standard,361,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']",['Evening Turndown Service'],2,Queen,Standard View,False,Available,2023-03-01,350,500
RM000003,0103,1,Standard,431,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']",['Courtyard View'],2,Double Queen,Courtyard View,False,Available,2022-08-10,350,500
RM000004,0104,1,Standard,391,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']","['City View', 'Courtyard View', 'Evening Turndown Service']",2,Queen,Courtyard View,True,Occupied,2023-09-06,350,500
RM000005,0105,1,Standard,373,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']","['Courtyard View', 'City View', 'Evening Turndown Service']",2,Double Queen,Evening Turndown Service,True,Occupied,2024-04-13,350,500
RM000006,0106,1,Standard,393,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']","['Courtyard View', 'Evening Turndown Service']",2,Queen,Courtyard View,False,Available,2024-12-11,350,500
RM000007,0107,1,Standard,362,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']",['Courtyard View'],2,Double Queen,Courtyard View,False,Available,2022-11-23,350,500
RM000008,0108,1,Standard,389,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']","['Evening Turndown Service', 'Courtyard View']",2,Queen,Courtyard View,False,Maintenance,2023-10-03,350,500
RM000009,0109,1,Standard,356,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']",['City View'],2,Queen,City View,True,Maintenance,2023-04-20,350,500
RM000010,0110,1,Standard,359,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']","['Evening Turndown Service', 'City View']",2,Double Queen,City View,False,Maintenance,2023-06-26,350,500
RM000011,0111,1,Standard,377,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']",['Courtyard View'],2,Double Queen,Courtyard View,False,Available,2024-04-17,350,500
RM000012,0112,1,Standard,430,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']","['City View', 'Courtyard View', 'Evening Turndown Service']",2,Queen,City View,False,Occupied,2024-02-24,350,500
RM000013,0113,1,Standard,431,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']",['Courtyard View'],2,Queen,Courtyard View,False,Available,2023-05-16,350,500
RM000014,0114,1,Standard,411,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']",['Courtyard View'],2,Double Queen,Courtyard View,False,Occupied,2023-11-17,350,500
RM000015,0115,1,Standard,382,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']","['Courtyard View', 'Evening Turndown Service']",2,Queen,Evening Turndown Service,False,Available,2024-02-27,350,500
RM000016,0116,1,Standard,396,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']","['Evening Turndown Service', 'Courtyard View', 'City View']",2,Queen,City View,False,Maintenance,2022-08-24,350,500
RM000017,0117,1,Standard,409,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']","['Courtyard View', 'Evening Turndown Service']",2,Queen,Evening Turndown Service,False,Available,2023-08-10,350,500
RM000018,0118,1,Standard,428,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']","['City View', 'Evening Turndown Service']",2,Double Queen,Evening Turndown Service,False,Available,2024-04-18,350,500
RM000019,0119,1,Standard,408,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']",['Evening Turndown Service'],2,Queen,Standard View,False,Available,2024-04-09,350,500
RM000020,0120,1,Standard,390,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']","['Courtyard View', 'Evening Turndown Service', 'City View']",2,Queen,City View,False,Occupied,2022-02-26,350,500
RM000021,0121,1,Standard,384,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']","['Courtyard View', 'City View', 'Evening Turndown Service']",2,Double Queen,City View,True,Available,2022-07-14,350,500
RM000022,0122,1,Standard,392,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']","['Courtyard View', 'City View']",2,Double Queen,Courtyard View,False,Available,2022-04-13,350,500
RM000023,0123,1,Standard,395,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']","['Evening Turndown Service', 'City View']",2,Queen,City View,False,Maintenance,2022-03-17,350,500
RM000024,0124,1,Standard,435,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']",['Evening Turndown Service'],2,Double Queen,Standard View,False,Available,2022-07-26,350,500
RM000025,0125,1,Standard,430,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']","['City View', 'Evening Turndown Service', 'Courtyard View']",2,Queen,Evening Turndown Service,True,Occupied,2023-09-12,350,500
RM000026,0126,1,Standard,442,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']","['City View', 'Courtyard View']",2,Double Queen,City View,False,Occupied,2023-03-04,350,500
RM000027,0127,1,Standard,368,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']",['Courtyard View'],2,Queen,Courtyard View,False,Available,2023-09-10,350,500
RM000028,0128,1,Standard,449,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']","['City View', 'Courtyard View']",2,Queen,City View,False,Available,2022-10-02,350,500
RM000029,0129,1,Standard,447,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']","['Evening Turndown Service', 'City View', 'Courtyard View']",2,Double Queen,Evening Turndown Service,False,Maintenance,2023-09-23,350,500
RM000030,0130,1,Standard,418,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']","['Evening Turndown Service', 'Courtyard View']",2,Queen,Courtyard View,False,Occupied,2022-08-30,350,500
RM000031,0201,2,Standard,437,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']","['Evening Turndown Service', 'City View', 'Courtyard View']",2,Double Queen,Courtyard View,True,Maintenance,2022-01-17,350,500
RM000032,0202,2,Standard,376,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']","['Courtyard View', 'City View', 'Evening Turndown Service']",2,Queen,City View,False,Maintenance,2023-06-15,350,500
RM000033,0203,2,Standard,431,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']","['Courtyard View', 'Evening Turndown Service']",2,Queen,Courtyard View,False,Available,2023-12-04,350,500
RM000034,0204,2,Standard,390,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']","['City View', 'Courtyard View', 'Evening Turndown Service']",2,Double Queen,Evening Turndown Service,False,Maintenance,2023-08-04,350,500
RM000035,0205,2,Standard,433,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']","['City View', 'Courtyard View', 'Evening Turndown Service']",2,Double Queen,Courtyard View,False,Occupied,2024-06-21,350,500
RM000036,0206,2,Standard,424,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']","['Evening Turndown Service', 'Courtyard View']",2,Double Queen,Courtyard View,False,Available,2024-03-25,350,500
RM000037,0207,2,Standard,438,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']",['Courtyard View'],2,Queen,Courtyard View,False,Available,2023-06-28,350,500
RM000038,0208,2,Standard,391,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']","['Courtyard View', 'City View']",2,Double Queen,Courtyard View,False,Maintenance,2023-01-10,350,500
RM000039,0209,2,Standard,361,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']",['Courtyard View'],2,Queen,Courtyard View,False,Maintenance,2024-09-28,350,500
RM000040,0210,2,Standard,450,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']","['Courtyard View', 'City View', 'Evening Turndown Service']",2,Queen,Courtyard View,False,Maintenance,2024-05-15,350,500
RM000041,0211,2,Standard,400,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']",['Evening Turndown Service'],2,Queen,Standard View,False,Maintenance,2023-06-16,350,500
RM000042,0212,2,Standard,388,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']","['City View', 'Courtyard View', 'Evening Turndown Service']",2,Double Queen,City View,False,Occupied,2023-07-17,350,500
RM000043,0213,2,Standard,371,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']","['City View', 'Evening Turndown Service', 'Courtyard View']",2,Queen,Courtyard View,False,Maintenance,2023-09-28,350,500
RM000044,0214,2,Standard,424,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']",['Evening Turndown Service'],2,Queen,Standard View,False,Maintenance,2024-09-09,350,500
RM000045,0215,2,Standard,442,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']",['Courtyard View'],2,Queen,Courtyard View,False,Occupied,2024-04-08,350,500
RM000046,0216,2,Standard,363,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']","['Evening Turndown Service', 'Courtyard View']",2,Double Queen,Evening Turndown Service,False,Occupied,2022-01-10,350,500
RM000047,0217,2,Standard,350,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']","['City View', 'Courtyard View', 'Evening Turndown Service']",2,Queen,City View,False,Maintenance,2022-09-20,350,500
RM000048,0218,2,Standard,436,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']",['Courtyard View'],2,Queen,Courtyard View,True,Maintenance,2024-04-15,350,500
RM000049,0219,2,Standard,352,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']","['City View', 'Evening Turndown Service', 'Courtyard View']",2,Double Queen,Evening Turndown Service,False,Occupied,2024-10-26,350,500
RM000050,0220,2,Standard,378,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']","['Evening Turndown Service', 'Courtyard View', 'City View']",2,Double Queen,Courtyard View,True,Occupied,2023-09-14,350,500
RM000051,0221,2,Standard,385,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']","['Courtyard View', 'Evening Turndown Service']",2,Double Queen,Evening Turndown Service,True,Available,2022-06-07,350,500
RM000052,0222,2,Standard,372,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']","['City View', 'Evening Turndown Service', 'Courtyard View']",2,Double Queen,Evening Turndown Service,False,Available,2023-11-07,350,500
RM000053,0223,2,Standard,419,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']",['Courtyard View'],2,Queen,Courtyard View,False,Available,2024-11-24,350,500
RM000054,0224,2,Standard,417,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']",['City View'],2,Double Queen,City View,False,Available,2023-04-10,350,500
RM000055,0225,2,Standard,374,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']","['Evening Turndown Service', 'Courtyard View']",2,Double Queen,Evening Turndown Service,False,Maintenance,2024-05-21,350,500
RM000056,0226,2,Standard,412,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']","['City View', 'Evening Turndown Service', 'Courtyard View']",2,Double Queen,Courtyard View,False,Maintenance,2023-08-09,350,500
RM000057,0227,2,Standard,435,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']",['City View'],2,Queen,City View,False,Available,2022-06-26,350,500
RM000058,0228,2,Standard,437,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']","['Evening Turndown Service', 'Courtyard View']",2,Double Queen,Courtyard View,False,Available,2023-04-12,350,500
RM000059,0229,2,Standard,399,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']","['Courtyard View', 'City View']",2,Double Queen,Courtyard View,False,Available,2022-10-10,350,500
