recommendation_id,category,name,description,address,distance_km,price_range,rating,review_count,booking_required,seasonal,tags,keywords,last_verified
REC000001,dining,International restaurant,Diverse menu with global flavors,"163 Nancy Streets, Janiceside, Kansas 72333",0.6,$,4.7,343,True,True,Romantic,"dining, international restaurant, $, popular, family, breakfast, dinner",2025-01-03
REC000002,dining,Local fine dining restaurant,Award-winning restaurant featuring seasonal local ingredients,"317 John Plains, Richardstad, Tennessee 62606",3.0,$$,4.3,988,True,False,Family Friendly,"dining, local fine dining restaurant, $$, local favorite, upscale, delivery, brunch",2025-01-03
REC000003,activities,Adventure activity,Exciting outdoor adventure,"9197 Richard Wall, Christopherton, Louisiana 70521",2.6,$,4.8,273,True,True,Family Friendly,"activities, adventure activity, $, tourist spot, romantic, private, indoor",2025-01-03
REC000004,entertainment,Art gallery,Contemporary art exhibitions,"8471 Smith Highway, West Tammyton, North Dakota 61928",1.0,$,4.4,565,True,False,"Budget, Family Friendly, Luxury","entertainment, art gallery, $, local favorite, romantic, culture, shows",2025-01-03
REC000005,activities,Adventure activity,Exciting outdoor adventure,"019 Troy Pike, Merritttown, Vermont 19256",1.4,$,4.9,296,False,True,"Business, Local Experience","activities, adventure activity, $, hidden gem, family, private, outdoor",2025-01-03
REC000006,entertainment,Night club,Trendy nightlife spot,"33789 Travis Prairie, Port Amystad, North Dakota 70665",1.8,$$$,4.4,387,False,True,"Luxury, Business","entertainment, night club, $$$, tourist spot, business, live, art",2025-01-03
REC000007,dining,Family-friendly restaurant,Kid-friendly menu with healthy options,"631 Nancy Field, South Courtney, Georgia 33023",4.5,$$,4.3,90,True,True,"Family Friendly, Budget","dining, family-friendly restaurant, $$, local favorite, upscale, takeout, dinner",2025-01-03
REC000008,transportation,Public transit,Convenient public transportation,"2614 Ashley Throughway, South Richardside, Tennessee 51073",0.5,$$,4.8,103,False,True,"Business, Luxury","transportation, public transit, $$, local favorite, romantic, affordable, luxury",2025-01-03
REC000009,activities,Nature walk,Scenic trail with beautiful views,"4550 Meyer Ramp, Rogersland, Georgia 46842",1.5,$$,4.3,83,True,True,"Family Friendly, Luxury, Business","activities, nature walk, $$, local favorite, upscale, private, group",2025-01-03
REC000010,transportation,Walking tour,Guided walking tours,"76429 Billy Points, Ashleyburgh, Ohio 52575",1.3,$,4.5,680,False,True,Local Experience,"transportation, walking tour, $, tourist spot, casual, convenient, group",2025-01-03
REC000011,entertainment,Live music venue,Vibrant live music scene,"1968 Makayla Creek, Smithbury, Rhode Island 79724",0.3,$$,4.9,194,False,True,"Luxury, Local Experience","entertainment, live music venue, $$, popular, casual, nightlife, art",2025-01-03
REC000012,entertainment,Live music venue,Vibrant live music scene,"758 Jacobs Forks, Destinytown, South Carolina 50075",5.8,$$,4.6,659,False,True,"Budget, Business, Family Friendly","entertainment, live music venue, $$, popular, business, art, shows",2025-01-03
REC000013,entertainment,Cinema complex,Latest releases in comfort,"4567 Margaret Streets, Tamarabury, Maine 81107",5.9,$$$,4.6,474,False,False,Family Friendly,"entertainment, cinema complex, $$$, local favorite, business, culture, shows",2025-01-03
REC000014,entertainment,Theater performance,Professional theater productions,"003 Zachary Lock, New Robinbury, Wyoming 89522",3.3,$$,4.7,861,True,False,Business,"entertainment, theater performance, $$, tourist spot, upscale, music, live",2025-01-03
REC000015,transportation,Walking tour,Guided walking tours,"477 Moreno Squares, Reneetown, Michigan 75980",0.3,$,4.9,788,True,True,Family Friendly,"transportation, walking tour, $, tourist spot, upscale, convenient, luxury",2025-01-03
REC000016,activities,Nature walk,Scenic trail with beautiful views,"201 Jonathan Plain, Gregoryhaven, Wisconsin 03801",8.9,$$,4.1,770,False,False,Family Friendly,"activities, nature walk, $$, hidden gem, business, group, self-guided",2025-01-03
REC000017,activities,Cultural experience,Immersive local cultural experience,"17979 Jones Harbors, Catherineview, New Jersey 71408",6.1,$$,4.7,355,True,False,"Business, Family Friendly, Luxury","activities, cultural experience, $$, popular, business, self-guided, private",2025-01-03
REC000018,dining,Casual bistro,"Cozy atmosphere with fresh, simple dishes","9834 Klein Square, Sotoview, Alabama 34716",2.8,$$$,4.8,963,True,True,Budget,"dining, casual bistro, $$$, hidden gem, casual, dinner, lunch",2025-01-03
REC000019,transportation,Walking tour,Guided walking tours,"83152 Andre Square, Lake Gabrielshire, Wisconsin 72545",0.3,$$,4.7,358,True,False,"Luxury, Budget","transportation, walking tour, $$, hidden gem, upscale, quick, scenic",2025-01-03
REC000020,transportation,Taxi service,Reliable 24/7 taxi service,"378 Joyce Lodge, North Fred, North Carolina 05677",1.6,$,4.7,628,False,False,"Luxury, Family Friendly","transportation, taxi service, $, popular, upscale, luxury, quick",2025-01-03
REC000021,dining,Traditional local cuisine,Authentic local dishes in a historic setting,"60594 Elizabeth Pine, North Brian, Kentucky 13273",2.5,$,4.5,931,True,True,Local Experience,"dining, traditional local cuisine, $, local favorite, casual, takeout, brunch",2025-01-03
REC000022,dining,Traditional local cuisine,Authentic local dishes in a historic setting,"1599 Massey Rue, Pruittshire, New Hampshire 82524",4.6,$,4.9,701,False,False,Budget,"dining, traditional local cuisine, $, local favorite, romantic, lunch, dinner",2025-01-03
REC000023,dining,International restaurant,Diverse menu with global flavors,"375 Abigail Groves, Lake Michaelchester, Iowa 94002",3.2,$$,4.3,438,False,False,"Business, Family Friendly","dining, international restaurant, $$, tourist spot, romantic, takeout, lunch",2025-01-03
REC000024,entertainment,Theater performance,Professional theater productions,"875 Clark Row, East Brandyland, Virginia 11547",4.3,$$,4.3,75,False,False,Luxury,"entertainment, theater performance, $$, popular, family, shows, nightlife",2025-01-03
REC000025,activities,Adventure activity,Exciting outdoor adventure,"257 Karen Haven, New Craig, New Hampshire 01783",8.0,$$$$,5.0,769,True,False,"Local Experience, Luxury, Budget","activities, adventure activity, $$$$, popular, family, self-guided, guided",2025-01-03
REC000026,transportation,Taxi service,Reliable 24/7 taxi service,"59567 Mann Coves, New Jamesburgh, Maryland 37005",0.6,$,4.4,73,False,False,"Luxury, Budget","transportation, taxi service, $, hidden gem, romantic, luxury, scenic",2025-01-03
REC000027,transportation,Taxi service,Reliable 24/7 taxi service,"6055 Anderson Summit, West Lindseyland, California 24277",1.8,$$,4.9,820,False,False,Business,"transportation, taxi service, $$, hidden gem, business, quick, luxury",2025-01-03
REC000028,transportation,Bike rental,Eco-friendly bike rentals,"151 Nancy Harbors, Lake Glenda, Utah 56634",0.5,$$,4.0,996,True,False,Business,"transportation, bike rental, $$, tourist spot, casual, scenic, luxury",2025-01-03
REC000029,activities,Nature walk,Scenic trail with beautiful views,"62888 Cynthia Plaza, North Beverlyfurt, Alaska 22411",1.4,$$,4.5,30,False,False,"Luxury, Family Friendly, Budget","activities, nature walk, $$, popular, family, self-guided, group",2025-01-03
REC000030,transportation,Car rental,Quality car rental service,"749 Meyer Mill, Andersonhaven, Hawaii 24726",0.5,$$,4.3,402,False,False,Local Experience,"transportation, car rental, $$, popular, upscale, scenic, quick",2025-01-03
REC000031,transportation,Public transit,Convenient public transportation,"2572 Baxter Garden, Codyland, Nevada 64842",1.8,$$,4.5,278,True,False,Romantic,"transportation, public transit, $$, local favorite, romantic, affordable, group",2025-01-03
REC000032,activities,Nature walk,Scenic trail with beautiful views,"98617 Fox Inlet, Michaelside, Wyoming 49877",1.3,$,4.3,812,False,False,"Budget, Family Friendly","activities, nature walk, $, tourist spot, romantic, indoor, private",2025-01-03
