staff_id,date,shift,department
ST000211,2025-01-04 03:03:28.336604,Morning,Security
ST000301,2025-01-04 03:03:28.336604,Morning,Security
ST000749,2025-01-04 03:03:28.336604,Morning,Security
ST000200,2025-01-04 03:03:28.336604,Afternoon,Security
ST000211,2025-01-04 03:03:28.336604,Afternoon,Security
ST000524,2025-01-04 03:03:28.336604,Afternoon,Security
ST000015,2025-01-04 03:03:28.336604,Night,Security
ST000751,2025-01-04 03:03:28.336604,Night,Security
ST000884,2025-01-04 03:03:28.336604,Night,Security
ST000369,2025-01-04 03:03:28.336604,Morning,Maintenance
ST000590,2025-01-04 03:03:28.336604,Morning,Maintenance
ST000125,2025-01-04 03:03:28.336604,Afternoon,Maintenance
ST000994,2025-01-04 03:03:28.336604,Afternoon,Maintenance
ST000094,2025-01-04 03:03:28.336604,Night,Maintenance
ST000710,2025-01-04 03:03:28.336604,Night,Maintenance
ST000572,2025-01-04 03:03:28.336604,Morning,Front Desk
ST000862,2025-01-04 03:03:28.336604,Morning,Front Desk
ST000248,2025-01-04 03:03:28.336604,Morning,Front Desk
ST000813,2025-01-04 03:03:28.336604,Afternoon,Front Desk
ST000574,2025-01-04 03:03:28.336604,Afternoon,Front Desk
ST000860,2025-01-04 03:03:28.336604,Afternoon,Front Desk
ST000135,2025-01-04 03:03:28.336604,Night,Front Desk
ST000006,2025-01-04 03:03:28.336604,Night,Front Desk
ST000339,2025-01-04 03:03:28.336604,Night,Front Desk
ST000156,2025-01-04 03:03:28.336604,Morning,Administration
ST000504,2025-01-04 03:03:28.336604,Morning,Administration
ST000504,2025-01-04 03:03:28.336604,Afternoon,Administration
ST000690,2025-01-04 03:03:28.336604,Afternoon,Administration
ST000044,2025-01-04 03:03:28.336604,Night,Administration
ST000400,2025-01-04 03:03:28.336604,Night,Administration
ST000683,2025-01-04 03:03:28.336604,Morning,Food & Beverage
ST000098,2025-01-04 03:03:28.336604,Morning,Food & Beverage
ST000165,2025-01-04 03:03:28.336604,Morning,Food & Beverage
ST000230,2025-01-04 03:03:28.336604,Morning,Food & Beverage
ST000930,2025-01-04 03:03:28.336604,Afternoon,Food & Beverage
ST000959,2025-01-04 03:03:28.336604,Afternoon,Food & Beverage
ST000497,2025-01-04 03:03:28.336604,Afternoon,Food & Beverage
ST000801,2025-01-04 03:03:28.336604,Afternoon,Food & Beverage
ST000134,2025-01-04 03:03:28.336604,Night,Food & Beverage
ST000548,2025-01-04 03:03:28.336604,Night,Food & Beverage
ST000889,2025-01-04 03:03:28.336604,Night,Food & Beverage
ST000914,2025-01-04 03:03:28.336604,Night,Food & Beverage
ST000674,2025-01-04 03:03:28.336604,Morning,Housekeeping
ST000315,2025-01-04 03:03:28.336604,Morning,Housekeeping
ST000598,2025-01-04 03:03:28.336604,Morning,Housekeeping
ST000897,2025-01-04 03:03:28.336604,Morning,Housekeeping
ST000776,2025-01-04 03:03:28.336604,Morning,Housekeeping
ST000275,2025-01-04 03:03:28.336604,Afternoon,Housekeeping
ST000824,2025-01-04 03:03:28.336604,Afternoon,Housekeeping
ST000060,2025-01-04 03:03:28.336604,Afternoon,Housekeeping
ST000776,2025-01-04 03:03:28.336604,Afternoon,Housekeeping
ST000826,2025-01-04 03:03:28.336604,Afternoon,Housekeeping
ST000081,2025-01-04 03:03:28.336604,Night,Housekeeping
ST000316,2025-01-04 03:03:28.336604,Night,Housekeeping
ST000357,2025-01-04 03:03:28.336604,Night,Housekeeping
ST000202,2025-01-04 03:03:28.336604,Night,Housekeeping
ST000410,2025-01-04 03:03:28.336604,Night,Housekeeping
ST000768,2025-01-04 03:03:28.336604,Morning,Spa & Wellness
ST000210,2025-01-04 03:03:28.336604,Morning,Spa & Wellness
